element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,18,"=""""","=""""","=""0.288103238""","=""0.000000003""","=""""","=""2.0565e+12""",AA,"=""0.0""","=""(34709779.92)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291749237""","=""0.000000003""","=""""","=""3.6034e+12""",AA,"=""0.0""","=""(34276010.83)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291770388""","=""0.000000003""","=""""","=""3.5864e+12""",AA,"=""0.0""","=""(34273526.13)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298732543""","=""0.000000003""","=""""","=""7.1479e+12""",AA,"=""0.0""","=""(33474759.34)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298775875""","=""0.000000005""","=""""","=""7.1234e+12""",AA,"=""0.0""","=""(33469904.5)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,17,"=""0.3137""","=""0.0007""","=""0.3128269""","=""0.0000020""","=""0""","=""""",,"=""0.""","=""(31966560)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,18,"=""""","=""""","=""0.315022760""","=""0.000000007""","=""""","=""1.7527e+13""",AA,"=""0.0""","=""(31743738.1)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.315137049""","=""0.000000010""","=""""","=""1.7512e+13""",AA,"=""0.0""","=""(31732225.8)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,17,"=""0.3198""","=""0.0005""","=""0.3199687""","=""0.0000020""","=""13""","=""""",,"=""0.""","=""(31253060)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,17,"=""0.3362""","=""0.0003""","=""0.3365617""","=""0.0000005""","=""19""","=""""",,"=""0.""","=""(29712236)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,17,"=""""","=""""","=""0.3368909""","=""0.0000005""","=""""","=""""",,"=""0.""","=""(29683203)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""2""",M2,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.3369659""","=""0.0000005""","=""""","=""""",,"=""0.""","=""(29676590)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.3374574""","=""0.0000005""","=""""","=""""",,"=""0.""","=""(29633366)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",M1,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34059""","=""0.00005""","=""""","=""""",,"=""0.""","=""29360800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34059""","=""0.00005""","=""""","=""""",,"=""0.""","=""29360800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34155""","=""0.00003""","=""""","=""""",,"=""257026.""","=""29535300""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34166""","=""0.00004""","=""""","=""""",,"=""257026.""","=""29526300""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34185""","=""0.00004""","=""""","=""""",,"=""282603.""","=""29535300""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34194""","=""0.00005""","=""""","=""""",,"=""282603.""","=""29527500""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""5/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34195""","=""0.00004""","=""""","=""""",,"=""282603.""","=""29526300""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34222""","=""0.00004""","=""""","=""""",,"=""257026.""","=""29478400""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34231""","=""0.00005""","=""""","=""""",,"=""0.""","=""29213300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34232""","=""0.00005""","=""""","=""""",,"=""0.""","=""29212400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34245""","=""0.00005""","=""""","=""""",,"=""0.""","=""29201300""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""4P*""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34245""","=""0.00005""","=""""","=""""",,"=""257026.""","=""29458400""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""4P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34252""","=""0.00004""","=""""","=""""",,"=""282603.""","=""29478400""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34271""","=""0.00004""","=""""","=""""",,"=""257026.""","=""29436200""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""4S""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34271""","=""0.00004""","=""""","=""""",,"=""257026.""","=""29436200""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34278""","=""0.00005""","=""""","=""""",,"=""282603.""","=""29455800""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""5/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34301""","=""0.00004""","=""""","=""""",,"=""282603.""","=""29436200""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""4S""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34301""","=""0.00004""","=""""","=""""",,"=""282603.""","=""29436200""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34359""","=""0.00005""","=""""","=""""",,"=""282603.""","=""29387100""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""4D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34365""","=""0.00005""","=""""","=""""",,"=""282603.""","=""29382000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34437""","=""0.00004""","=""""","=""""",,"=""257026.""","=""29295700""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(1S).3s""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34438""","=""0.00005""","=""""","=""""",,"=""257026.""","=""29294700""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(3S).3d""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34467""","=""0.00004""","=""""","=""""",,"=""282603.""","=""29295700""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(1S).3s""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34468""","=""0.00005""","=""""","=""""",,"=""282603.""","=""29295000""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(3S).3d""","=""2D""","=""5/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34579""","=""0.00004""","=""""","=""""",,"=""257026.""","=""29176100""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(3S).3s""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34610""","=""0.00004""","=""""","=""""",,"=""282603.""","=""29176100""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(3S).3s""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.372348""","=""0.000021""","=""""","=""""",,"=""(25193006.)""","=""(52049600)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1S""","=""0""",,"=""""","=""""",
Ar,18,"=""0.3731105""","=""0.0000019""","=""0.373109987""","=""0.000000006""","=""13""","=""6.5502e+13""",AA,"=""0.0""","=""(26801748.387)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,"=""T7771""","=""L7290""",
Ar,17,"=""""","=""""","=""0.373238""","=""0.000021""","=""""","=""""",,"=""(25036647.)""","=""(51829200)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""1P*""","=""1""",,"=""""","=""""",
Ar,18,"=""0.3736522""","=""0.0000019""","=""0.373651509""","=""0.000000006""","=""7""","=""6.5898e+13""",AA,"=""0.0""","=""(26762905.40)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,"=""T7771""","=""L7290""",
Ar,17,"=""""","=""""","=""0.374151""","=""0.000021""","=""""","=""""",,"=""(25322440.)""","=""(52049600)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1S""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.375370""","=""0.000021""","=""""","=""""",,"=""(25193006.)""","=""(51833400)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1D""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.375541""","=""0.000021""","=""""","=""""",,"=""(25200961.)""","=""(51829200)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""1P*""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.375683""","=""0.000021""","=""""","=""""",,"=""(25215228.)""","=""(51833400)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""1D""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376140""","=""0.000021""","=""""","=""""",,"=""(25036647.)""","=""(51622500)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376367""","=""0.000021""","=""""","=""""",,"=""(25193006.)""","=""(51762800)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376507""","=""0.000021""","=""""","=""""",,"=""(25036647.)""","=""(51596600)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376560""","=""0.000021""","=""""","=""""",,"=""(25187805.)""","=""(51744000)""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376634""","=""0.000021""","=""""","=""""",,"=""(25193006.)""","=""(51744000)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376657""","=""0.000021""","=""""","=""""",,"=""(25036647.)""","=""(51586000)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376682""","=""0.000021""","=""""","=""""",,"=""(25215228.)""","=""(51762800)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376831""","=""0.000021""","=""""","=""""",,"=""(25193006.)""","=""(51730100)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376949""","=""0.000021""","=""""","=""""",,"=""(25215228.)""","=""(51744000)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.377202""","=""0.000021""","=""""","=""""",,"=""(25322440.)""","=""(51833400)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1D""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.378210""","=""0.000021""","=""""","=""""",,"=""(25322440.)""","=""(51762800)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.378479""","=""0.000021""","=""""","=""""",,"=""(25322440.)""","=""(51744000)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.378678""","=""0.000022""","=""""","=""""",,"=""(25322440.)""","=""(51730100)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.378850""","=""0.000022""","=""""","=""""",,"=""(25200961.)""","=""(51596600)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""3P*""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.379334""","=""0.000022""","=""""","=""""",,"=""(25193006.)""","=""(51555000)""","=""1s.2p""","=""3P*""","=""1""","=""2s2""","=""1S""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.381206""","=""0.000022""","=""""","=""""",,"=""(25322440.)""","=""(51555000)""","=""1s.2p""","=""1P*""","=""1""","=""2s2""","=""1S""","=""0""",,"=""""","=""""",
Ar,17,"=""0.3949065""","=""0.0000008""","=""0.39490665""","=""0.00000006""","=""100""","=""""",,"=""0.""","=""(25322440.)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,"=""""","=""L12339""",
Ar,16,"=""""","=""""","=""0.396159""","=""0.000022""","=""""","=""""",,"=""257026.""","=""25499400""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,17,"=""0.3963""","=""0.0002""","=""0.39693556""","=""0.00000006""","=""55""","=""""",,"=""0.""","=""(25193006.)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",,"=""""","=""L1845""",
Ar,16,"=""""","=""""","=""0.396561""","=""0.000022""","=""""","=""""",,"=""282603.""","=""25499400""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.39658575""","=""0.00000006""","=""""","=""""",,"=""0.""","=""(25215228.)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",M2,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.39676""","=""0.00003""","=""""","=""""",,"=""0.""","=""25204200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.39685""","=""0.00003""","=""""","=""""",,"=""0.""","=""25198400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.39813""","=""0.00003""","=""""","=""""",,"=""0.""","=""25117400""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.398167""","=""0.000021""","=""""","=""""",,"=""257026.""","=""25372100""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.39834""","=""0.00003""","=""""","=""""",,"=""0.""","=""25104200""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.398572""","=""0.000021""","=""""","=""""",,"=""257026.""","=""25346600""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.398573""","=""0.000021""","=""""","=""""",,"=""282603.""","=""25372100""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.398979""","=""0.000021""","=""""","=""""",,"=""282603.""","=""25346600""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.398981""","=""0.000021""","=""""","=""""",,"=""257026.""","=""25320900""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.39938""","=""0.00003""","=""""","=""""",,"=""282603.""","=""25321400""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.399388""","=""0.000021""","=""""","=""""",,"=""282603.""","=""25320900""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.39941451""","=""0.00000006""","=""""","=""""",,"=""0.""","=""(25036647.)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",M1,"=""""","=""""",
Ar,15,"=""0.40000""","=""0.00005""","=""0.39998""","=""0.00005""","=""*""","=""""",,"=""228684""","=""25229900""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s.2s.(3S).2p2.(1S)""","=""3S""","=""1""",,"=""""","=""L11185""",
Ar,15,"=""0.40000""","=""0.00005""","=""0.40010""","=""0.00005""","=""*""","=""""",,"=""235860.182""","=""25229900""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s.2s.(3S).2p2.(1S)""","=""3S""","=""1""",,"=""""","=""L11185""",
Ar,15,"=""0.40044""","=""0.00005""","=""0.40036""","=""0.00005""","=""""","=""""",,"=""252679.553""","=""25229900""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.2s.(3S).2p2.(1S)""","=""3S""","=""1""",,"=""""","=""L11185""",
Ar,16,"=""""","=""""","=""0.401038""","=""0.000021""","=""""","=""""",,"=""257026.""","=""25192300""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.401219""","=""0.000021""","=""""","=""""",,"=""257026.""","=""25181100""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.40125""","=""0.00003""","=""""","=""""",,"=""282603.""","=""25204700""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",,"=""""","=""""",
Ar,15,"=""0.40137""","=""0.00005""","=""0.40137""","=""0.00005""","=""*""","=""""",,"=""628308""","=""25543000""","=""1s2.2p2""","=""3P""","=""2""","=""1s.2p3""","=""3P*""","=""1""",,"=""""","=""L11185""",
Ar,15,"=""0.40137""","=""0.00005""","=""0.40137""","=""0.00005""","=""*""","=""""",,"=""235860.182""","=""25150500""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s.2s.(3S).2p2.(1D)""","=""3D""","=""2""",,"=""""","=""L11185""",
Ar,16,"=""""","=""""","=""0.401450""","=""0.000021""","=""""","=""""",,"=""282603.""","=""25192300""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.40148""","=""0.00003""","=""""","=""""",,"=""0.""","=""24907800""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.40159""","=""0.00003""","=""""","=""""",,"=""0.""","=""24901000""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.401631""","=""0.000021""","=""""","=""""",,"=""282603.""","=""25181100""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""1/2""",,"=""""","=""""",
Ar,15,"=""0.40201""","=""0.00005""","=""0.40201""","=""0.00005""","=""""","=""""",,"=""252679.553""","=""25127700""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.2s.(3S).2p2.(1D)""","=""3D""","=""3""",,"=""""","=""L11185""",
Ar,15,"=""0.40272""","=""0.00005""","=""0.40272""","=""0.00005""","=""*""","=""""",,"=""452182""","=""25283300""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s.2s.(1S).2p2.(1D)""","=""1D""","=""2""",,"=""""","=""L11185""",
Ar,15,"=""0.40272""","=""0.00005""","=""0.40272""","=""0.00005""","=""*""","=""""",,"=""604917""","=""25436100""","=""1s2.2p2""","=""3P""","=""0""","=""1s.2p3""","=""3D*""","=""1""",,"=""""","=""L11185""",
Ar,15,"=""0.40317""","=""0.00005""","=""0.40317""","=""0.00005""","=""""","=""""",,"=""628308""","=""25431700""","=""1s2.2p2""","=""3P""","=""2""","=""1s.2p3""","=""3D*""","=""3""",,"=""""","=""L11185""",
Ar,14,"=""0.40389""","=""0.00005""","=""0.40389""","=""0.00004""","=""""","=""""",,"=""411205.""","=""25170500""","=""2s.2p2""","=""2D""","=""5/2""","=""1s.2s.(3S).2p3.(2D*)""","=""2D*""","=""5/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40439""","=""0.00005""","=""0.40435""","=""0.00004""","=""*""","=""""",,"=""410254""","=""25141000""","=""2s.2p2""","=""2D""","=""3/2""","=""1s.2s.(3S).2p3.(2P*)""","=""2P*""","=""3/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40439""","=""0.00005""","=""0.40437""","=""0.00004""","=""*""","=""""",,"=""411205.""","=""25141000""","=""2s.2p2""","=""2D""","=""5/2""","=""1s.2s.(3S).2p3.(2P*)""","=""2P*""","=""3/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40456""","=""0.00005""","=""0.40456""","=""0.00005""","=""""","=""""",,"=""22656.239""","=""24740900""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2P""","=""3/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40483""","=""0.00005""","=""0.40483""","=""0.00005""","=""""","=""""",,"=""0.000""","=""24701700""","=""2s2.2p""","=""2P*""","=""1/2""","=""1s.2s2.2p2""","=""2D""","=""3/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40518""","=""0.00005""","=""0.40504""","=""0.00006""","=""*""","=""""",,"=""812956""","=""25501600""","=""2p3""","=""2D*""","=""5/2""","=""1s.2p4""","=""2P""","=""3/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40518""","=""0.00005""","=""0.40518""","=""0.00005""","=""*""","=""""",,"=""22656.239""","=""24703000""","=""2s2.2p""","=""2P*""","=""3/2""","=""1s.2s2.2p2""","=""2D""","=""5/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40575""","=""0.00005""","=""0.40575""","=""0.00005""","=""""","=""""",,"=""238954+x""","=""24884700""","=""2s.2p2""","=""4P""","=""3/2""","=""1s.2s.(3S).2p3.(2D*)""","=""4D*""","=""5/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40601""","=""0.00005""","=""0.40601""","=""0.00005""","=""*""","=""""",,"=""250423+x""","=""24880400""","=""2s.2p2""","=""4P""","=""5/2""","=""1s.2s.(3S).2p3.(2D*)""","=""4D*""","=""7/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40601""","=""0.00005""","=""0.40607""","=""0.00004""","=""*""","=""""",,"=""514401.""","=""25141000""","=""2s.2p2""","=""2S""","=""1/2""","=""1s.2s.(3S).2p3.(2P*)""","=""2P*""","=""3/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40624""","=""0.00005""","=""0.40624""","=""0.00004""","=""""","=""""",,"=""554678.""","=""25170500""","=""2s.2p2""","=""2P""","=""3/2""","=""1s.2s.(3S).2p3.(2D*)""","=""2D*""","=""5/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40659""","=""0.00005""","=""0.40662""","=""0.00006""","=""*""","=""""",,"=""908793""","=""25501600""","=""2p3""","=""2P*""","=""1/2""","=""1s.2p4""","=""2P""","=""3/2""",,"=""""","=""L11185""",
Ar,14,"=""0.40659""","=""0.00005""","=""0.40669""","=""0.00006""","=""*""","=""""",,"=""913056""","=""25501600""","=""2p3""","=""2P*""","=""3/2""","=""1s.2p4""","=""2P""","=""3/2""",,"=""""","=""L11185""",
Ar,16,"=""""","=""""","=""0.406848""","=""0.000022""","=""""","=""""",,"=""257026.""","=""24836200""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s2""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.407272""","=""0.000022""","=""""","=""""",,"=""282603.""","=""24836200""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s2""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,13,"=""0.40741""","=""0.00005""","=""0.40741""","=""0.00004""","=""""","=""""",,"=""85011.3""","=""24630600""","=""2s2.2p2""","=""1D""","=""2""","=""1s.2s2.2p3""","=""1P*""","=""1""",,"=""""","=""L11185""",
Ar,13,"=""0.40806""","=""0.00005""","=""0.40806""","=""0.00005""","=""""","=""""",,"=""85011.3""","=""24591200""","=""2s2.2p2""","=""1D""","=""2""","=""1s.2s2.2p3""","=""1D*""","=""2""",,"=""""","=""L11185""",
Ar,13,"=""0.40830""","=""0.00008""","=""0.40829""","=""0.00006""","=""bl*""","=""""",,"=""497055""","=""24989300""","=""2s.2p3""","=""3P*""","=""2""","=""1s.2s.(3S).2p4.(3P)""","=""3P""","=""2""",,"=""""","=""L9846""",
Ar,13,"=""0.40830""","=""0.00008""","=""0.40830""","=""0.00003""","=""bl*""","=""""",,"=""422699""","=""24914500""","=""2s.2p3""","=""3D*""","=""2""","=""1s.2s.(3S).2p4.(3P)""","=""3P""","=""1""",,"=""""","=""L9846""",
