element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""628.112""","=""0.002""","=""628.113036""","=""0.000020""","=""0""","=""""",,"=""192333.4986""","=""208249.7978""","=""3s2.3p4.(1S).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).7s""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""628.2823""","=""0.0008""","=""628.28252""","=""0.00007""","=""1""","=""""",,"=""174821.0098""","=""190733.0156""","=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""629.450""","=""0.002""","=""629.44964""","=""0.00008""","=""0.5""","=""""",,"=""196315.5916""","=""212198.0935""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<0>).6g""","=""2[4]""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""629.5446""","=""0.0008""","=""629.54312""","=""0.00008""","=""2""","=""""",,"=""192712.058""","=""208592.2016""","=""3s2.3p4.(3P).4d""","=""2D""","=""3/2""","=""3s2.3p4.(1D<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Ar,1,"=""629.6872""","=""0.0010""","=""629.6873""","=""0.0010""","=""7""","=""9.0e+05""",D+,"=""107496.4166""","=""123372.9253""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
Ar,1,"=""630.7657""","=""0.0010""","=""630.7657""","=""0.0010""","=""15""","=""6.0e+05""",D+,"=""106237.5518""","=""122086.9164""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
Ar,1,"=""""","=""""","=""630.9160""","=""0.0010""","=""""","=""7.6e+04""",D,"=""106087.2598""","=""121932.8477""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
Ar,2,"=""631.540""","=""0.002""","=""631.54070""","=""0.00016""","=""1""","=""""",,"=""194800.2662""","=""210630.181""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""9/2""","=""3s2.3p4.(3P<2>).6g""","=""2[3]""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""632.3735""","=""0.0008""","=""632.37174""","=""0.00012""","=""3""","=""""",,"=""194800.2662""","=""210609.378""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""9/2""","=""3s2.3p4.(3P<2>).6g""","=""2[4]""","=""9/2""",,"=""""","=""L14821""",
Ar,2,"=""632.416""","=""0.002""","=""632.41631""","=""0.00016""","=""1p*""","=""""",,"=""194822.1833""","=""210630.181""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<2>).6g""","=""2[3]""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""632.416""","=""0.002""","=""632.41887""","=""0.00008""","=""1p*""","=""""",,"=""194822.1833""","=""210630.117""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<2>).6g""","=""2[3]""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""632.44151""","=""0.00012""","=""632.44176""","=""0.00005""","=""12""","=""""",,"=""194800.2662""","=""210607.6278""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""9/2""","=""3s2.3p4.(3P<2>).6g""","=""2[5]""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""632.6117""","=""0.0008""","=""632.6117""","=""0.0008""","=""2*""","=""""",,"=""208803.3348""","=""224606.450""","=""3s2.3p4.(1D<2>).4f""","=""2[5]*""","=""9/2""","=""3s2.3p4.(1D<2>).6g""","=""2[6]""","=""11/2""",,"=""""","=""L14821""",
Ar,2,"=""632.6117""","=""0.0008""","=""632.6117""","=""0.0008""","=""2*""","=""""",,"=""208803.3311""","=""224606.447""","=""3s2.3p4.(1D<2>).4f""","=""2[5]*""","=""11/2""","=""3s2.3p4.(1D<2>).6g""","=""2[6]""","=""13/2""",,"=""""","=""L14821""",
Ar,2,"=""632.8474""","=""0.0008""","=""632.84661""","=""0.00016""","=""1""","=""""",,"=""194861.3529""","=""210658.602""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<2>).6g""","=""2[2]""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""633.2499""","=""0.0008""","=""633.24966""","=""0.00012""","=""5""","=""""",,"=""194822.1833""","=""210609.378""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<2>).6g""","=""2[4]""","=""9/2""",,"=""""","=""L14821""",
Ar,2,"=""633.2832""","=""0.0008""","=""633.28495""","=""0.00006""","=""1""","=""""",,"=""174409.8916""","=""190196.2066""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""",,"=""""","=""L14821""",
Ar,2,"=""633.3147""","=""0.0002""","=""633.31468""","=""0.00006""","=""6""","=""""",,"=""194822.1833""","=""210607.7571""","=""3s2.3p4.(3P<2>).4f""","=""2[4]*""","=""7/2""","=""3s2.3p4.(3P<2>).6g""","=""2[5]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""633.713""","=""0.002""","=""633.71341""","=""0.00006""","=""0""","=""""",,"=""194883.0921""","=""210658.7338""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P<2>).6g""","=""2[2]""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""633.9897""","=""0.0008""","=""633.98981""","=""0.00008""","=""3""","=""""",,"=""194861.3529""","=""210630.117""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<2>).6g""","=""2[3]""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""634.82272""","=""0.00019""","=""634.82281""","=""0.00004""","=""7""","=""""",,"=""194861.3529""","=""210609.4258""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<2>).6g""","=""2[4]""","=""7/2""",,"=""""","=""L11520""",
Ar,2,"=""634.8601""","=""0.0008""","=""634.86248""","=""0.00016""","=""2""","=""""",,"=""194883.0921""","=""210630.181""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P<2>).6g""","=""2[3]""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""635.7025""","=""0.0003""","=""635.70229""","=""0.00012""","=""7""","=""""",,"=""194883.0921""","=""210609.378""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P<2>).6g""","=""2[4]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""635.76776""","=""0.00008""","=""635.76782""","=""0.00006""","=""8""","=""""",,"=""194883.0921""","=""210607.7571""","=""3s2.3p4.(3P<2>).4f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P<2>).6g""","=""2[5]""","=""9/2""",,"=""""","=""L2634""",
Ar,1,"=""""","=""""","=""636.4894""","=""0.0010""","=""""","=""5.6e+05""",D+,"=""106087.2598""","=""121794.0988""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""""",
Ar,2,"=""636.5440""","=""0.0008""","=""636.54546""","=""0.00004""","=""1""","=""""",,"=""179592.2248""","=""195297.6798""","=""3s2.3p4.(1S).3d""","=""2D""","=""5/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""636.9128""","=""0.0008""","=""636.91233""","=""0.00006""","=""2""","=""""",,"=""174409.8916""","=""190106.3000""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""""","=""L14821""",
Ar,1,"=""636.9575""","=""0.0010""","=""636.9575""","=""0.0010""","=""7""","=""4.2e+05""",D+,"=""106237.5518""","=""121932.8477""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""L2634""",
Ar,2,"=""637.319""","=""0.002""","=""637.31859""","=""0.00007""","=""0""","=""""",,"=""174821.0098""","=""190507.4128""","=""3s2.3p4.(1D).3d""","=""2P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""637.5945""","=""0.0008""","=""637.59543""","=""0.00006""","=""3""","=""""",,"=""158730.2995""","=""174409.8916""","=""3s2.3p4.(3P).4p""","=""2D*""","=""5/2""","=""3s2.3p4.(1D).3d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
Ar,2,"=""638.2696""","=""0.0008""","=""638.26931""","=""0.00003""","=""3""","=""""",,"=""190592.2306""","=""206255.2684""","=""3s2.3p4.(3P).4d""","=""2P""","=""3/2""","=""3s2.3p4.(3P<1>).5f""","=""2[3]*""","=""5/2""",,"=""""","=""L14821""",
Ar,2,"=""638.30967""","=""0.00008""","=""638.30994""","=""0.00017""","=""5""","=""""",,"=""194996.5613""","=""210658.602""","=""3s2.3p4.(3P<2>).4f""","=""2[2]*""","=""3/2""","=""3s2.3p4.(3P<2>).6g""","=""2[2]""","=""3/2""",,"=""""","=""L2634""",
