obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""49.750""","=""49.7500+""","=""""","=""""",,"=""0.0000""","=""201005""","=""4s2.4p6""","=""1S""","=""0""","=""4s.4p6.5p""","=""(1/2,1/2)*""","=""1""",,"=""""","=""L1526""",
"=""84.7646""","=""84.7646+""","=""""","=""""",,"=""0.0000""","=""117973.8""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).20d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""84.7903""","=""84.7904+""","=""""","=""""",,"=""0.0000""","=""117937.9""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).19d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""84.8173""","=""84.8173+""","=""5""","=""""",,"=""0.0000""","=""117900.5""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).20s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""84.8209""","=""84.8209+""","=""""","=""""",,"=""0.0000""","=""117895.5""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).18d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""84.8532""","=""84.8532+""","=""7""","=""""",,"=""0.0000""","=""117850.6""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).19s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""84.8577""","=""84.8577+""","=""""","=""""",,"=""0.0000""","=""117844.4""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).17d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""84.8964""","=""84.8964+""","=""8""","=""""",,"=""0.0000""","=""117790.6""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).18s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""84.9018""","=""84.9018+""","=""""","=""""",,"=""0.0000""","=""117783.1""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).16d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""84.9495""","=""84.9495+""","=""9""","=""""",,"=""0.0000""","=""117717.0""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).17s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""84.9564""","=""84.9564+""","=""""","=""""",,"=""0.0000""","=""117707.4""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).15d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.0154""","=""85.0154+""","=""10""","=""""",,"=""0.0000""","=""117625.8""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).16s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.0241""","=""85.0241+""","=""""","=""""",,"=""0.0000""","=""117613.7""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).14d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.0988""","=""85.0988+""","=""13""","=""""",,"=""0.0000""","=""117510.5""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).15s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.1098""","=""85.1099+""","=""""","=""""",,"=""0.0000""","=""117495.2""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).13d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.2064""","=""85.2064+""","=""18""","=""""",,"=""0.0000""","=""117362.1""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).14s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.2208""","=""85.2208+""","=""""","=""""",,"=""0.0000""","=""117342.3""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).12d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.3486""","=""85.3486+""","=""20""","=""""",,"=""0.0000""","=""117166.6""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).13s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.3676""","=""85.3676+""","=""""","=""""",,"=""0.0000""","=""117140.5""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).11d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.5424""","=""85.5424+""","=""24""","=""""",,"=""0.0000""","=""116901.1""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).12s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.5687""","=""85.5687+""","=""""","=""""",,"=""0.0000""","=""116865.1""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.8157""","=""85.8157+""","=""27""","=""""",,"=""0.0000""","=""116528.8""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).11s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""85.8534""","=""85.8534+""","=""""","=""""",,"=""0.0000""","=""116477.6""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""86.2198""","=""86.2198+""","=""35""","=""""",,"=""0.0000""","=""115982.6""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""86.277""","=""86.277+""","=""""","=""""",,"=""0.0000""","=""115906.""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""86.8543""","=""86.8543+""","=""44""","=""""",,"=""0.0000""","=""115135.4""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""86.942""","=""86.942+""","=""""","=""""",,"=""0.0000""","=""115019.""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""87.9388""","=""87.9388+""","=""46""","=""""",,"=""0.0000""","=""113715.4""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.082""","=""88.082+""","=""""","=""""",,"=""0.0000""","=""113530.""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.8058""","=""88.8058+""","=""14""","=""""",,"=""0.0000""","=""112605.2""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).20d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.8134""","=""88.8136+""","=""1""","=""""",,"=""0.0000""","=""112595.4""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).20d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.8339""","=""88.8339+""","=""15""","=""""",,"=""0.0000""","=""112569.7""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).19d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.8428""","=""88.8427+""","=""2""","=""""",,"=""0.0000""","=""112558.5""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).19d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.8642""","=""88.8642+""","=""10""","=""""",,"=""0.0000""","=""112531.2""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).20s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.8672""","=""88.8672+""","=""15""","=""""",,"=""0.0000""","=""112527.5""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).18d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.8777""","=""88.8779+""","=""2""","=""""",,"=""0.0000""","=""112513.9""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).18d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.9034""","=""88.9034+""","=""13""","=""""",,"=""0.0000""","=""112481.6""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).19s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.9069""","=""88.9069+""","=""15""","=""""",,"=""0.0000""","=""112477.2""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).17d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.9198""","=""88.9198+""","=""3""","=""""",,"=""0.0000""","=""112460.9""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).17d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.9508""","=""88.9508+""","=""12""","=""""",,"=""0.0000""","=""112421.7""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).18s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.9550""","=""88.9550+""","=""16""","=""""",,"=""0.0000""","=""112416.4""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).16d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""88.9707""","=""88.9708+""","=""3""","=""""",,"=""0.0000""","=""112396.4""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).16d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.0089""","=""89.0089+""","=""14""","=""""",,"=""0.0000""","=""112348.3""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).17s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.0139""","=""89.0139+""","=""16""","=""""",,"=""0.0000""","=""112342.0""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).15d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.0333""","=""89.0334+""","=""4""","=""""",,"=""0.0000""","=""112317.4""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).15d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.0811""","=""89.0811+""","=""14""","=""""",,"=""0.0000""","=""112257.3""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).16s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.0871""","=""89.0871+""","=""18""","=""""",,"=""0.0000""","=""112249.7""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).14d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.1115""","=""89.1115+""","=""7""","=""""",,"=""0.0000""","=""112219.0""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).14d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.1723""","=""89.1723+""","=""16""","=""""",,"=""0.0000""","=""112142.4""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).15s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.1797""","=""89.1797+""","=""18""","=""""",,"=""0.0000""","=""112133.2""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).13d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.2108""","=""89.2110+""","=""6""","=""""",,"=""0.0000""","=""112093.8""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).13d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.2901""","=""89.2901+""","=""17""","=""""",,"=""0.0000""","=""111994.5""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).14s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.2990""","=""89.2990+""","=""18""","=""""",,"=""0.0000""","=""111983.3""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).12d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.3397""","=""89.3400+""","=""6""","=""""",,"=""0.0000""","=""111931.9""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).12d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.4455""","=""89.4455+""","=""21""","=""""",,"=""0.0000""","=""111799.9""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.4565""","=""89.4566+""","=""20""","=""""",,"=""0.0000""","=""111786.1""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.5108""","=""89.51096+""","=""11""","=""""",,"=""0.0000""","=""111718.16""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.6568""","=""89.65664+""","=""21""","=""""",,"=""0.0000""","=""111536.63""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.6698""","=""89.6699+""","=""21""","=""""",,"=""0.0000""","=""111520.2""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.7435""","=""89.74359+""","=""13""","=""""",,"=""0.0000""","=""111428.57""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.9515""","=""89.95165+""","=""24""","=""""",,"=""0.0000""","=""111170.83""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""89.9651""","=""89.9650+""","=""24""","=""""",,"=""0.0000""","=""111154.3""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""90.0313""","=""90.0313+""","=""20""","=""""",,"=""0.0000""","=""111072.5""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""90.0876""","=""90.087668+""","=""22""","=""""",,"=""0.0000""","=""111002.984""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
"=""90.3071""","=""90.30710+""","=""28""","=""""",,"=""0.0000""","=""110733.27""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""90.4004""","=""90.400322+""","=""14""","=""""",,"=""0.0000""","=""110619.075""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""90.4862""","=""90.486195+""","=""7""","=""""",,"=""0.0000""","=""110514.095""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L4676""",
"=""90.6697""","=""90.6697915+""","=""20""","=""""",,"=""0.0000""","=""110290.3165""","=""4s2.4p6""","=""1S""","=""0""","=""4s2.4p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L4676""",
