obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""75.9537""","=""0.0009""","=""75.9537""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""16.32366""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).7f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""76.0302""","=""0.0009""","=""76.0302""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""16.30723""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).10p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""76.0724""","=""0.0009""","=""76.0724""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""16.29818""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).10p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""76.7527""","=""0.0009""","=""76.7527""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""16.15373""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).6f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""76.8951""","=""0.0009""","=""76.8951""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""16.12381""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).9p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""76.967""","=""0.005""","=""76.967""","=""0.005""","=""a""","=""""",,"=""0.0000000""","=""16.1088""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).9p""","=""2[1/2]*""","=""1""",,"=""""","=""L400""",
"=""78.264""","=""0.005""","=""78.264""","=""0.005""","=""a""","=""""",,"=""0.0000000""","=""15.8418""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).5f""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""78.5840""","=""0.0009""","=""78.5840""","=""0.0009""","=""a""","=""""",,"=""0.0000000""","=""15.77729""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).8p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
"=""78.757""","=""0.007""","=""78.757""","=""0.007""","=""10h""","=""""",,"=""0.0000000""","=""15.7426""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).8p""","=""2[1/2]*""","=""1""",,"=""""","=""L15166c86""",
"=""82.844""","=""0.005""","=""82.844""","=""0.005""","=""a""","=""""",,"=""0.0000000""","=""14.9660""","=""5d10.6s2""","=""1S""","=""0""","=""5d9.6s2.(2D<3/2>).7p""","=""2[3/2]*""","=""1""",,"=""""","=""L400""",
