obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""57.42208""","=""0.00006""","=""57.42208""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""174149.04""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).14d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.42982""","=""0.00006""","=""57.42982""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""174125.57""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).15s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.45172""","=""0.00006""","=""57.45172""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""174059.19""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).13d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.46144""","=""0.00006""","=""57.46144""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""174029.75""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).14s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.48912""","=""0.00006""","=""57.48912""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173945.96""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).12d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.50158""","=""0.00006""","=""57.50158""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173908.26""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).13s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.53703""","=""0.00006""","=""57.53703""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173801.12""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).11d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.55347""","=""0.00006""","=""57.55347""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173751.47""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).12s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.58544""","=""0.00006""","=""57.58544""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173655.01""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).20d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.59530""","=""0.00006""","=""57.59530""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173625.28""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).19d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.59822""","=""0.00006""","=""57.59822""","=""0.00006""","=""a""","=""""",,"=""0.0000""","=""173616.48""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).20s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.60045""","=""0.00006""","=""57.60050""","=""0.00004""","=""a""","=""""",,"=""0.0000""","=""173609.59""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
