obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""26.7970""","=""0.0010""","=""26.7970""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.2679""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).9d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8060""","=""0.0010""","=""26.8060""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.2524""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).10s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8240""","=""0.0010""","=""26.8240""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.2213""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).8d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8270""","=""0.0010""","=""26.8270""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.2162""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).14d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8340""","=""0.0010""","=""26.8340""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.2042""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).13d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8380""","=""0.0010""","=""26.8380""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.1973""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3d.(3D*<1>).9s""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8420""","=""0.0010""","=""26.8420""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.1903""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).12d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8530""","=""0.0010""","=""26.8530""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.1715""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).11d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8620""","=""0.0010""","=""26.8620""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.1560""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(1P*<1>).7d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""26.8660""","=""0.0010""","=""26.8660""","=""0.0011""","=""a""","=""""",,"=""0.000000000""","=""46.1492""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.4s.(3P*<1>).10d""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
